"CO_ANO";"SUBSTANCIA";"CO_NCM";"NO_NCM_Subitem_POR";"IMP_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"id_NCM_ano";"VALOR_(usd/un)"
"2018";"Calcário";"28352500";"Hidrogeno-ortofosfato de cálcio (fosfato dicálcico)";39511921;94307,849;"TML";"TONELADA METRICA LIQUIDA";"28352500_2018";1415,2
"2018";"Calcário";"68101900";"Outras telhas, ladrilhos, semelhantes, de cimento, de concreto ou de pedra artificial, mesmo armadas";30775447;44734,884;"TML";"TONELADA METRICA LIQUIDA";"68101900_2018";710,9
"2018";"Calcário";"28352600";"Outros fosfatos de cálcio";29757595;64555,457;"TML";"TONELADA METRICA LIQUIDA";"28352600_2018";1148,45
"2018";"Calcário";"25231000";"Cimentos não pulverizados, denominados clinkers";20323422;487150,34;"TML";"TONELADA METRICA LIQUIDA";"25231000_2018";100,8
"2018";"Calcário";"25221000";"Cal viva";14603161;88979,38;"TML";"TONELADA METRICA LIQUIDA";"25221000_2018";192,3
"2018";"Calcário";"68109900";"Outras obras de cimento, de concreto ou de pedra artificial, mesmo armadas";13697613;19343,314;"TML";"TONELADA METRICA LIQUIDA";"68109900_2018";856,1
"2018";"Calcário";"25232100";"Cimentos Portland brancos, mesmo corados artificialmente";12892107;128773,321;"TML";"TONELADA METRICA LIQUIDA";"25232100_2018";106,7
"2018";"Calcário";"38249971";"Cal sodada; carbonato de cálcio hidrófugo";8585907;36328,918;"TML";"TONELADA METRICA LIQUIDA";"38249971_2018";466,8
"2018";"Calcário";"28365000";"Carbonato de cálcio";7971694;24542,277;"TML";"TONELADA METRICA LIQUIDA";"28365000_2018";570,2
"2018";"Calcário";"28281000";"Hipoclorito de cálcio comercial e outros hipocloritos de cálcio";6928235;5916,3;"TML";"TONELADA METRICA LIQUIDA";"28281000_2018";1210,2
"2018";"Carvão Mineral";"27011200";"Hulha betuminosa, não aglomerada";2842779158;19797242222;"KGL";"QUILOGRAMA LIQUIDO";"27011200_2018";0,1508
