"CO_ANO";"SUBSTANCIA";"CO_NCM";"NO_NCM_Subitem_POR";"EX_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"id_NCM_ano";"VALOR_(usd/un)"
"2018";"Cobre";"74092100";"Chapas e tiras de ligas à base de cobre-zinco (latão, de espessura superior a 0,15 mm, em rolos";55024084;8847,62;"TML";"TONELADA METRICA LIQUIDA";"74092100_2018";6348,45
"2018";"Cobre";"85441100";"Fios de cobre para bobinar, isolados para usos elétricos (incluindo os envernizados ou oxidados anodicamente)";46788809;5701,011;"TML";"TONELADA METRICA LIQUIDA";"85441100_2018";8422,4
"2018";"Cobre";"74010000";"Mates de cobre; cobre de cementação (precipitado de cobre)";41029566;19480,673;"TML";"TONELADA METRICA LIQUIDA";"74010000_2018";2058,95
"2018";"Coríndon";"38160021";"Preparações refratárias que contenham grafita e 50 % ou mais, em peso, de coríndon";326;100;"KGL";"QUILOGRAMA LIQUIDO";"38160021_2018";3,26
"2018";"Cromo";"72042100";"Desperdícios e resíduos de aços inoxidáveis";55630209;37245,003;"TML";"TONELADA METRICA LIQUIDA";"72042100_2018";1371
"2018";"Cromo";"72193300";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a frio, de espessura superior a 1 mm, mas inferior a 3 mm";45855377;26360,287;"TML";"TONELADA METRICA LIQUIDA";"72193300_2018";1859,1
"2018";"Cromo";"72193400";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a frio, de espessura igual ou superior a 0,5 mm, mas não superior a 1 mm";41886751;22864,568;"TML";"TONELADA METRICA LIQUIDA";"72193400_2018";1814,65
"2018";"Cromo";"72222000";"Barras de aço inxodiável simplesmente obtidas ou completamente acabadas a frio";23928721;2939,453;"TML";"TONELADA METRICA LIQUIDA";"72222000_2018";7521,55
"2018";"Cromo";"73239300";"Outros artefatos domésticos, de aços inoxidáveis, e partes";18790616;2003,798;"TML";"TONELADA METRICA LIQUIDA";"73239300_2018";12744,45
"2018";"Cromo";"82159910";"Colheres, garfos, conchas, escumadeiras, etc, de aços inoxidáveis";18151744;2362,835;"TML";"TONELADA METRICA LIQUIDA";"82159910_2018";12460,25
"2018";"Cromo";"73241000";"Pias e lavatórios, de aços inoxidáveis";15399184;2083,812;"TML";"TONELADA METRICA LIQUIDA";"73241000_2018";8234,9
"2018";"Cromo";"72024900";"Outras ligas de ferro-cromo";14759529;5707,251;"TML";"TONELADA METRICA LIQUIDA";"72024900_2018";2620,3
"2018";"Cromo";"72192100";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a quente, não enrolados, de espessura superior a 10 mm";14010100;5232,319;"TML";"TONELADA METRICA LIQUIDA";"72192100_2018";2613,25
"2018";"Cromo";"72230000";"Fios de aço inoxidável";9345764;692,145;"TML";"TONELADA METRICA LIQUIDA";"72230000_2018";6785,6
"2018";"Diamante";"71021000";"Diamantes, mesmo trabalhados, mas não montados nem engastados, não selecionados";40309110;232068;"QUILT";"QUILATE";"71021000_2018";280,1347
"2018";"Diamante";"71023100";"Diamantes não industriais, em bruto ou simplesmente serrados, clivados ou desbastados";7563856;2794;"QUILT";"QUILATE";"71023100_2018";3637,0532
"2018";"Diamante";"71023900";"Outros diamantes não industriais, não montados, não engastados";3222594;580;"QUILT";"QUILATE";"71023900_2018";4421,4686
"2018";"Diamante";"68042119";"Outros mós de diamante natural ou sintético, aglomerado, de diâmetro inferior a 53,34 cm";2911901;182992;"KGL";"QUILOGRAMA LIQUIDO";"68042119_2018";29,125
"2018";"Diamante";"68042111";"Mós de diamante natural ou sintético, aglomerado, de diâmetro inferior a 53,34 cm, aglomerados com resina";729805;8247;"KGL";"QUILOGRAMA LIQUIDO";"68042111_2018";115,25
"2018";"Diamante";"68042190";"Outros mós de diamante natural ou sintético, aglomerado";665354;5256;"KGL";"QUILOGRAMA LIQUIDO";"68042190_2018";203,2424
"2018";"Diamante";"71022900";"Outros diamantes industriais, não montados, nem engastados";107239;9;"QUILT";"QUILATE";"71022900_2018";11915,4444
"2018";"Diamante";"71022100";"Diamantes industriais, em bruto ou simplesmente serrados, clivados ou desbastados";9994;97;"QUILT";"QUILATE";"71022100_2018";103,0309
"2018";"Diamante";"71051000";"Pó de diamantes";1920;0;"QUILT";"QUILATE";"71051000_2018";NA
"2018";"Diatomita";"38029040";"Outras argilas e terras ativadas";383451;575125;"KGL";"QUILOGRAMA LIQUIDO";"38029040_2018";0,7705
"2018";"Diatomita";"25120000";"Farinhas siliciosas fósseis (por exemplo, kieselguhr, tripolita, diatomita) e outras terras siliciosas análogas de densidade aparente não superior a 1, mesmo calcinadas";337595;219621;"KGL";"QUILOGRAMA LIQUIDO";"25120000_2018";1,9405
"2018";"Diatomita";"38029010";"Farinhas silíciosas fósseis (ativadas)";417;10;"KGL";"QUILOGRAMA LIQUIDO";"38029010_2018";41,7
"2018";"Dolomita";"25181000";"Dolomita não calcinada nem sinterizada, denominada 'crua'";13490661;243107335;"KGL";"QUILOGRAMA LIQUIDO";"25181000_2018";0,0417
"2018";"Dolomita";"25183000";"Aglomerados de dolomita";262417;4872770;"KGL";"QUILOGRAMA LIQUIDO";"25183000_2018";0,0554
"2018";"Dolomita";"25182000";"Dolomita calcinada ou sinterizada";171616;1520662;"KGL";"QUILOGRAMA LIQUIDO";"25182000_2018";0,0698
"2018";"Enxofre";"28332990";"Outros sulfatos";13947012;1793626;"KGL";"QUILOGRAMA LIQUIDO";"28332990_2018";14,85
