"CO_ANO";"SUBSTANCIA";"CO_NCM";"EX_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"percentual_Produto_NCM";"NO_NCM_Subitem_POR"
"2018";"Calcário";"28365000";3944660;11946,925;"TML";"TONELADA METRICA LIQUIDA";7,072;"Carbonato de cálcio"
"2018";"Calcário";"68118200";3879372;18803,756;"TML";"TONELADA METRICA LIQUIDA";6,955;"Outras chapas, painéis, ladrilhos, telhas e artigos semelhantes, de fibrocimento, cimento-celulose ou produtos semelhantes"
"2018";"Calcário";"28491000";3841171;4414,041;"TML";"TONELADA METRICA LIQUIDA";6,886;"Carbonetos de constituição química definida ou não, de cálcio"
"2018";"Calcário";"68109900";3448677;4580,772;"TML";"TONELADA METRICA LIQUIDA";6,182;"Outras obras de cimento, de concreto ou de pedra artificial, mesmo armadas"
"2018";"Calcário";"28352500";2340982;4867,41;"TML";"TONELADA METRICA LIQUIDA";4,197;"Hidrogeno-ortofosfato de cálcio (fosfato dicálcico)"
"2018";"Calcário";"25232990";1887922;21202,351;"TML";"TONELADA METRICA LIQUIDA";3,384;"Outros tipos de cimento 'portland'"
"2018";"Calcário";"68118100";1309603;4973,527;"TML";"TONELADA METRICA LIQUIDA";2,348;"Chapas onduladas de fibrocimento, cimento-celulose, ou produtos semelhantes, que não contenham amianto"
"2018";"Carvão Mineral";"27075000";41013409;73134297;"KGL";"QUILOGRAMA LIQUIDO";51,691;"Outras misturas de hidrocarbonetos aromáticos que destilem, incluindo as perdas, uma fração igual ou superior a 65 %, em volume, a 250 °C, segundo o método ASTM D 86"
"2018";"Carvão Mineral";"27060000";9849332;33236740;"KGL";"QUILOGRAMA LIQUIDO";12,413;"Alcatrões de hulha, de linhita ou de turfa e outros alcatrões minerais, mesmo desidratados ou parcialmente destilados, incluindo os alcatrões reconstituídos"
"2018";"Carvão Mineral";"85451100";8599673;768525;"KGL";"QUILOGRAMA LIQUIDO";10,838;"Eletrodos de carvão, dos tipos utilizados em fornos"
"2018";"Carvão Mineral";"38013010";7982873;11259614;"KGL";"QUILOGRAMA LIQUIDO";10,061;"Pasta carbonada para eletrodos"
"2018";"Carvão Mineral";"85452000";4987978;444375;"KGL";"QUILOGRAMA LIQUIDO";6,287;"Escovas de carvão, para usos elétricos"
"2018";"Carvão Mineral";"27071000";3518962;7088893;"KGL";"QUILOGRAMA LIQUIDO";4,435;"Benzol (benzeno) (produtos da destilação dos alcatrões de hulha)"
"2018";"Carvão Mineral";"38021000";1232196;935111;"KGL";"QUILOGRAMA LIQUIDO";1,553;"Carvões ativados"
"2018";"Carvão Mineral";"27040090";783368;1052741;"KGL";"QUILOGRAMA LIQUIDO";0,987;"Semicoques de hulha, linhita ou turfa, carvão de retorta"
"2018";"Carvão Mineral";"27079100";316017;418230;"KGL";"QUILOGRAMA LIQUIDO";0,398;"Óleos de creosoto"
"2018";"Carvão Mineral";"27079910";293945;115100;"KGL";"QUILOGRAMA LIQUIDO";0,37;"Cresóis"
"2018";"Caulim";"25070010";169955978;1546431,547;"TML";"TONELADA METRICA LIQUIDA";80,277;"Caulim (caulino), mesmo calcinados"
