"CO_ANO";"SUBSTANCIA";"CO_NCM";"IMP_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"percentual_Produto_NCM";"NO_NCM_Subitem_POR"
"2018";"Caulim";"25070010";5533524;11940,09;"TML";"TONELADA METRICA LIQUIDA";5,983;"Caulim (caulino), mesmo calcinados"
"2018";"Caulim";"69101000";5276113;235797;"UNID.";"NUMERO (UNIDADE)";5,705;"Pias, lavatórios, etc, para sanitários, de porcelana"
"2018";"Caulim";"25070090";3945790;10810,951;"TML";"TONELADA METRICA LIQUIDA";4,266;"Outras argilas caulínicas, mesmo calcinadas"
"2018";"Caulim";"69131000";2924807;1678,047;"TML";"TONELADA METRICA LIQUIDA";3,162;"Estatuetas/outros objetos ornamentais de porcelana"
"2018";"Caulim";"48109990";2917398;2364,291;"TML";"TONELADA METRICA LIQUIDA";3,154;"Outros papéis/cartões, revestidos de caulim, em rolos/folhas"
"2018";"Caulim";"48109910";1137648;988,846;"TML";"TONELADA METRICA LIQUIDA";1,23;"Outros papéis e cartões revestidos de caulim, em tiras ou rolos de largura não superior a 15 cm ou em folhas em que nenhum lado exceda 360 mm, quando não dobradas"
"2018";"Caulim";"69119000";921189;593,43;"TML";"TONELADA METRICA LIQUIDA";0,996;"Outros artigos de uso doméstico, higiene, etc, de porcelana"
"2018";"Chumbo";"78011090";141621084;57344;"TML";"TONELADA METRICA LIQUIDA";45,858;"Outras formas brutas de chumbo refinado"
"2018";"Chumbo";"85072010";94513326;6548280;"UNID.";"NUMERO (UNIDADE)";30,604;"Outros acumuladores elétricos, de chumbo, peso <= 1000 kg"
"2018";"Chumbo";"78019100";22788354;434848;"TML";"TONELADA METRICA LIQUIDA";7,379;"Chumbos que contenham antimônio como segundo elemento predominante em peso"
"2018";"Chumbo";"85071090";20516319;276249;"UNID.";"NUMERO (UNIDADE)";6,643;"Outros acumuladores elétricos de chumbo"
"2018";"Chumbo";"85071010";11948714;1093161;"UNID.";"NUMERO (UNIDADE)";3,869;"Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão, de capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V"
"2018";"Chumbo";"78019900";5140938;2583;"TML";"TONELADA METRICA LIQUIDA";1,665;"Outras formas brutas de chumbo"
"2018";"Chumbo";"93062900";2816336;665,288;"TML";"TONELADA METRICA LIQUIDA";0,912;"Chumbos para carabinas de ar comprimido, partes para cartuchos"
"2018";"Chumbo";"85072090";2607609;50294;"UNID.";"NUMERO (UNIDADE)";0,844;"Outros acumuladores elétricos, de chumbo"
"2018";"Chumbo";"38111100";2399036;63;"TML";"TONELADA METRICA LIQUIDA";0,777;"Preparações antidetonantes à base de compostos de chumbo"
"2018";"Chumbo";"78060090";1491767;355,135;"TML";"TONELADA METRICA LIQUIDA";0,483;"Outras obras de chumbo"
"2018";"Cobalto";"81052029";24351786;1297,565;"TML";"TONELADA METRICA LIQUIDA";33,747;"Outros pós"
"2018";"Cobalto";"81052010";21066854;263,767;"TML";"TONELADA METRICA LIQUIDA";29,194;"Cobalto em formas brutas"
"2018";"Cobalto";"28220090";14217685;714,757;"TML";"TONELADA METRICA LIQUIDA";19,703;"Outros óxidos e hidróxidos de cobalto, inclusive os comerciais"
"2018";"Cobalto";"28220010";4642070;85,4;"TML";"TONELADA METRICA LIQUIDA";6,433;"Tetraóxido de tricobalto (óxido salino de cobalto)"
"2018";"Cobalto";"81059010";3468767;28,559;"TML";"TONELADA METRICA LIQUIDA";4,807;"Chapas, folhas, tiras, fios, hastes, pastilhas e plaquetas, de cobalto"
"2018";"Cobalto";"81059090";2414622;28,002;"TML";"TONELADA METRICA LIQUIDA";3,346;"Outras obras de cobalto"
"2018";"Cobalto";"81052021";1787956;30,657;"TML";"TONELADA METRICA LIQUIDA";2,478;"Pós de ligas à base de cobalto-cromo-tungstênio (volfrâmio) (estelites)"
"2018";"Cobalto";"28273997";126042;7,081;"TML";"TONELADA METRICA LIQUIDA";0,175;"Cloreto de cobalto"
"2018";"Cobalto";"81052090";76571;1,064;"TML";"TONELADA METRICA LIQUIDA";0,106;"Mates de cobalto e outros produtos intermediários metálicos"
"2018";"Cobalto";"26050000";8221;0,048;"TML";"TONELADA METRICA LIQUIDA";0,011;"Minérios de cobalto e seus concentrados"
"2018";"Cobre";"74031100";1322589560;199314;"TML";"TONELADA METRICA LIQUIDA";55,117;"Cátodos e seus elementos de cobre refinado, em formas brutas"
"2018";"Cobre";"26030010";712655807;376973,947;"TML";"TONELADA METRICA LIQUIDA";29,699;"Sulfetos de minérios de cobre e seus concentrados"
"2018";"Cobre";"74081100";80853402;11145,824;"TML";"TONELADA METRICA LIQUIDA";3,369;"Fios de cobre refinado, com a maior dimensão da seção transversal superior a 6 mm"
"2018";"Cobre";"74020000";40837296;6310,612;"TML";"TONELADA METRICA LIQUIDA";1,702;"Cobre não refinado; ânodos de cobre para refinação eletrolítica"
"2018";"Cobre";"74111090";32722196;3968,466;"TML";"TONELADA METRICA LIQUIDA";1,364;"Outros tubos de cobre refinado"
"2018";"Cobre";"74122000";32496263;1926,976;"TML";"TONELADA METRICA LIQUIDA";1,354;"Acessórios para tubos (por exemplo, uniões, cotovelos, luvas), de ligas de cobre"
"2018";"Cobre";"74040000";23872655;3973,187;"TML";"TONELADA METRICA LIQUIDA";0,995;"Desperdícios e resíduos, de cobre"
"2018";"Cobre";"38089291";19015139;3394,042;"TML";"TONELADA METRICA LIQUIDA";0,792;"Fungicidas à base de hidróxido de cobre, de oxicloreto de cobre ou de óxido cuproso"
"2018";"Cobre";"74199990";13726614;329,696;"TML";"TONELADA METRICA LIQUIDA";0,572;"Aparelhos para cozinhar/aquecer, de cobre, não elétrico, uso doméstico"
