"CO_ANO";"SUBSTANCIA";"NO_FAT_AGREG";"EX_FOB.x";"QUANTIDADE_TON";"percentual_FAT_AGREG"
"2016";"Enxofre";"PRODUTOS MANUFATURADOS";5825451;3425,504;73,28
"2017";"Enxofre";"PRODUTOS MANUFATURADOS";11947743;4538,069;84,39
"2018";"Enxofre";"PRODUTOS MANUFATURADOS";17511221;5069,998;84,55
"2016";"Estanho";"PRODUTOS BASICOS";34343726;3293,631;20,14
"2017";"Estanho";"PRODUTOS BASICOS";41817478;4750,525;18,94
"2018";"Estanho";"PRODUTOS BASICOS";24083686;2873,571;11,02
"2016";"Estanho";"PRODUTOS MANUFATURADOS";4821919;313,63;2,83
"2017";"Estanho";"PRODUTOS MANUFATURADOS";5343835;396,573;2,42
"2018";"Estanho";"PRODUTOS MANUFATURADOS";6250824;403,698;2,86
"2016";"Estanho";"PRODUTOS SEMIMANUFATURADOS";131393332;7215,585;77,04
"2017";"Estanho";"PRODUTOS SEMIMANUFATURADOS";173638130;8459,797;78,64
"2018";"Estanho";"PRODUTOS SEMIMANUFATURADOS";188280633;9141,244;86,12
"2016";"Estrôncio";"PRODUTOS MANUFATURADOS";70323;141;100
"2017";"Estrôncio";"PRODUTOS MANUFATURADOS";82354;9,466;100
"2018";"Estrôncio";"PRODUTOS MANUFATURADOS";126034;156;100
"2016";"Feldspato";"PRODUTOS BASICOS";875489;2486,693;100
"2017";"Feldspato";"PRODUTOS BASICOS";712924;1488,201;100
"2018";"Feldspato";"PRODUTOS BASICOS";1547499;2511,775;100
"2016";"Ferro";"PRODUTOS BASICOS";13394586771;374539781,851;66,52
"2017";"Ferro";"PRODUTOS BASICOS";19341719759;384685250,051;67,13
"2018";"Ferro";"PRODUTOS BASICOS";20342280218;391303019,398;66,56
"2016";"Ferro";"PRODUTOS MANUFATURADOS";3480874487;5149013,96;17,29
"2017";"Ferro";"PRODUTOS MANUFATURADOS";4478736763;5777018,323;15,54
"2018";"Ferro";"PRODUTOS MANUFATURADOS";4370791101;4901956,378;14,3
"2016";"Ferro";"PRODUTOS SEMIMANUFATURADOS";3261045834;10661002,202;16,19
"2017";"Ferro";"PRODUTOS SEMIMANUFATURADOS";4991318728;12079420,222;17,32
"2018";"Ferro";"PRODUTOS SEMIMANUFATURADOS";5847647161;11131540,44;19,13
"2016";"Fluorita";"PRODUTOS BASICOS";118201;194;11,36
"2017";"Fluorita";"PRODUTOS BASICOS";104578;163,5;10,35
"2018";"Fluorita";"PRODUTOS BASICOS";50175;74,1;4,09
"2016";"Fluorita";"PRODUTOS MANUFATURADOS";922579;1129,059;88,64
"2017";"Fluorita";"PRODUTOS MANUFATURADOS";906087;382,747;89,65
"2018";"Fluorita";"PRODUTOS MANUFATURADOS";1175338;530,779;95,91
"2016";"Fosfato";"PRODUTOS BASICOS";440;2,5;0
"2017";"Fosfato";"PRODUTOS BASICOS";4172;20,001;0
"2018";"Fosfato";"PRODUTOS BASICOS";48909;315,121;0,03
"2016";"Fosfato";"PRODUTOS MANUFATURADOS";166425830;415869,898;98,99
"2017";"Fosfato";"PRODUTOS MANUFATURADOS";162001738;385352,083;98,69
"2018";"Fosfato";"PRODUTOS MANUFATURADOS";168149598;369522,637;98,86
"2016";"Fosfato";"PRODUTOS SEMIMANUFATURADOS";1701864;5225,515;1,01
"2017";"Fosfato";"PRODUTOS SEMIMANUFATURADOS";2143182;6054,005;1,31
